Username,Display Name,User ID
BLCS Bot#6695,BLCS Bot,1298444039129137185
AiArt#2694,AiArt,984821826096091206
Midjourney Bot#9282,Midjourney Bot,936929561302675456
kicker7_#0,kicker,892854476455690260
Leaves#7617,Leaves,767559534167851008
downfall4129#0,Downfall,607430749620011008
bacon_muncher#0,Bacon,531239291565899816
lighterix#0,Elmo,518772729630031895
hotbot#2029,hotbot,485868995447095306
Streamcord#2800,Streamcord,375805687529209857
wavy01613#0,WaVy,355113957628968961
riaino#0,riainoo,298162654592237579
.xero#0,Xero,283397197272449025
rhnyk#0,nyk,258245138386649088
YAGPDB.xyz#8760,YAGPDB.xyz,204255221017214977
MEE6#4876,mr. meeseeks,159985870458322944
nicklull#0,Nick (Lull),117747776879722501
